account_id,suspicious_start,suspicious_end,window_strength,window_confidence,n_days_observed
ACCT_N00279,2024-03-31,2024-04-04,0.5158,0.006378,649
ACCT_N00280,2024-05-31,2024-06-02,0.4412,0.00635,661
ACCT_N00281,2023-10-24,2023-11-02,0.579,0.0092,643
ACCT_N00282,2023-03-01,2023-03-03,0.5438,0.006282,640
ACCT_N00283,2022-02-01,2022-02-05,0.6464,0.008725,641
ACCT_N00284,2023-01-31,2023-02-02,0.6228,0.005749,652
ACCT_N00285,2022-03-31,2022-04-03,0.5875,0.008785,643
ACCT_N00286,2022-04-01,2022-04-05,0.4535,0.006762,647
ACCT_N00287,2024-04-30,2024-05-02,0.4585,0.005721,654
ACCT_N00288,2022-07-31,2022-08-02,0.4663,0.006366,644
ACCT_N00289,2023-08-01,2023-08-03,0.5312,0.00648,646
ACCT_N00290,2024-06-01,2024-06-03,0.5714,0.008795,646
ACCT_N00291,2022-01-01,2022-01-05,0.6248,0.008961,654
ACCT_N00292,2022-06-01,2022-06-08,0.6737,0.008831,641
ACCT_N00293,2023-04-30,2023-05-07,0.482,0.006009,629
ACCT_N00294,2024-01-01,2024-01-05,0.6505,0.006662,635
ACCT_N00295,2022-02-28,2022-03-02,0.517,0.006125,636
ACCT_N00296,2022-12-30,2023-01-02,0.6408,0.008519,671
ACCT_N00297,2022-12-31,2023-01-02,0.478,0.006569,633
ACCT_N00298,2022-12-01,2022-12-03,0.457,0.005598,643
ACCT_N00299,2023-02-28,2023-03-02,0.4686,0.006457,657
