position,column,banking_name,source,training_median
341,F1151,MAX_CASH_TXNS_CR_L31D,carried through from the extract,0.0
342,F1152,MAX_CASH_TXNS_DB_L31D,carried through from the extract,0.0
343,F1153,MAX_CASH_AMT_L31D,carried through from the extract,0.0
344,F1154,MAX_CASH_AMT_CR_L31D,carried through from the extract,0.0
345,F1155,MAX_CASH_AMT_DB_L31D,carried through from the extract,0.0
346,F1156,MAX_CHQ_TXNS_L31D,carried through from the extract,0.0
347,F1157,MAX_CHQ_TXNS_CR_L31D,carried through from the extract,0.0
348,F1158,MAX_CHQ_TXNS_DB_L31D,carried through from the extract,0.0
349,F1159,MAX_CHQ_AMT_L31D,carried through from the extract,0.0
350,F1160,MAX_CHQ_AMT_CR_L31D,carried through from the extract,0.0
351,F1161,MAX_CHQ_AMT_DB_L31D,carried through from the extract,0.0
352,F1162,MAX_NON_CASH_CHQ_TXNS_L31D,carried through from the extract,1.0
353,F1163,MAX_NON_CASH_CHQ_TXNS_CR_L31D,carried through from the extract,1.0
354,F1164,MAX_NON_CASH_CHQ_TXNS_DB_L31D,carried through from the extract,1.0
355,F1165,MAX_NON_CASH_CHQ_AMT_L31D,carried through from the extract,205061.5
356,F1166,MAX_NON_CASH_CHQ_AMT_CR_L31D,carried through from the extract,170000.0
357,F1167,MAX_NON_CASH_CHQ_AMT_DB_L31D,carried through from the extract,100000.0
358,F1168,MAX_CI_NON_CASH_CHQ_TXNS_L31D,carried through from the extract,1.0
359,F1169,MAX_CI_NON_CASH_CHQ_TXNS_CR_L31D,carried through from the extract,1.0
360,F1170,MAX_CI_NON_CASH_CHQ_TXNS_DB_L31D,carried through from the extract,1.0
361,F1173,MAX_CI_NON_CASH_CHQ_AMT_DB_L31D,carried through from the extract,98705.0
362,F1180,MAX_ATM_TXNS_L31D,carried through from the extract,0.0
363,F1183,MAX_ATM_AMT_L31D,carried through from the extract,0.0
364,F1186,MAX_BI_FEES_CHRGS_TXNS_L31D,carried through from the extract,0.0
365,F1187,MAX_BI_FEES_CHRGS_TXNS_CR_L31D,carried through from the extract,0.0
366,F1189,MAX_BI_FEES_CHRGS_AMT_L31D,carried through from the extract,0.0
367,F1191,MAX_BI_FEES_CHRGS_AMT_DB_L31D,carried through from the extract,0.0
368,F1192,MAX_CI_FEES_CHRGS_TXNS_L31D,carried through from the extract,0.0
369,F1193,MAX_CI_FEES_CHRGS_TXNS_CR_L31D,carried through from the extract,0.0
370,F1195,MAX_CI_FEES_CHRGS_AMT_L31D,carried through from the extract,0.0
371,F1196,MAX_CI_FEES_CHRGS_AMT_CR_L31D,carried through from the extract,0.0
372,F1197,MAX_CI_FEES_CHRGS_AMT_DB_L31D,carried through from the extract,0.0
373,F1198,MAX_GST_TXNS_L31D,carried through from the extract,0.0
374,F1199,MAX_GST_TXNS_CR_L31D,carried through from the extract,0.0
375,F1201,MAX_GST_AMT_L31D,carried through from the extract,0.0
376,F1202,MAX_GST_AMT_CR_L31D,carried through from the extract,0.0
377,F1203,MAX_GST_AMT_DB_L31D,carried through from the extract,0.0
378,F1204,MAX_ELEC_XFER_TXNS_L31D,carried through from the extract,1.0
379,F1205,MAX_ELEC_XFER_TXNS_CR_L31D,carried through from the extract,1.0
380,F1206,MAX_ELEC_XFER_TXNS_DB_L31D,carried through from the extract,0.0
381,F1207,MAX_ELEC_XFER_AMT_L31D,carried through from the extract,100000.0
382,F1208,MAX_ELEC_XFER_AMT_CR_L31D,carried through from the extract,50000.0
383,F1209,MAX_ELEC_XFER_AMT_DB_L31D,carried through from the extract,0.0
384,F1210,MAX_UPI_XFER_TXNS_L31D,carried through from the extract,1.0
385,F1211,MAX_UPI_TXNS_CR_L31D,carried through from the extract,1.0
386,F1213,MAX_UPI_XFER_AMT_L31D,carried through from the extract,48450.0
387,F1214,MAX_UPI_AMT_CR_L31D,carried through from the extract,20000.0
388,F1215,MAX_UPI_AMT_DB_L31D,carried through from the extract,25000.0
389,F1216,MAX_NET_BNKING_TXNS_L31D,carried through from the extract,1.0
390,F1217,MAX_NET_BNKING_TXNS_CR_L31D,carried through from the extract,1.0
391,F1218,MAX_NET_BNKING_TXNS_DB_L31D,carried through from the extract,0.0
392,F1222,MAX_MOB_BNKING_TXNS_L31D,carried through from the extract,0.0
393,F1223,MAX_MBNKING_TXNS_CR_L31D,carried through from the extract,0.0
394,F1224,MAX_MBNKING_TXNS_DB_L31D,carried through from the extract,0.0
395,F1225,MAX_MOB_BNKING_AMT_L31D,carried through from the extract,0.0
396,F1226,MAX_MBNKING_AMT_CR_L31D,carried through from the extract,0.0
397,F1227,MAX_MBNKING_AMT_DB_L31D,carried through from the extract,0.0
398,F1228,MAX_POS_PYMT_TXNS_L31D,carried through from the extract,0.0
399,F1229,MAX_POS_PYMT_TXNS_CR_L31D,carried through from the extract,0.0
400,F1231,MAX_POS_PYMT_AMT_L31D,carried through from the extract,0.0
401,F1240,MAX_APB_TXNS_L31D,carried through from the extract,0.0
402,F1243,MAX_APB_AMT_L31D,carried through from the extract,0.0
403,F1246,MAX_LOAN_TXNS_L31D,carried through from the extract,0.0
404,F1247,MAX_LOAN_TXNS_CR_L31D,carried through from the extract,0.0
405,F1248,MAX_LOAN_TXNS_DB_L31D,carried through from the extract,0.0
406,F1250,MAX_LOAN_AMT_CR_L31D,carried through from the extract,0.0
407,F1252,MAX_STDNG_INSTR_L31D,carried through from the extract,0.0
408,F1253,MAX_STDNG_INSTR_CR_TXNS_L31D,carried through from the extract,0.0
409,F1254,MAX_STDNG_INSTR_DB_TXNS_L31D,carried through from the extract,0.0
410,F1255,MAX_STDNG_INSTR_AMT_L31D,carried through from the extract,0.0
411,F1257,MAX_STDNG_INSTR_AMT_DB_L31D,carried through from the extract,0.0
412,F1258,MM_CASH_TXNS_L7D,carried through from the extract,0.0
413,F1260,MM_CASH_TXNS_DB_L7D,carried through from the extract,0.0
414,F1270,MM_NON_CASH_CHQ_TXNS_L7D,carried through from the extract,0.0
415,F1271,MM_NON_CASH_CHQ_TXNS_CR_L7D,carried through from the extract,1.0
416,F1272,MM_NON_CASH_CHQ_TXNS_DB_L7D,carried through from the extract,1.0
417,F1276,MM_CI_NON_CASH_CHQ_TXNS_L7D,carried through from the extract,0.0
418,F1277,MM_CI_NON_CASH_CHQ_TXNS_CR_L7D,carried through from the extract,1.0
419,F1278,MM_CI_NON_CASH_CHQ_TXNS_DB_L7D,carried through from the extract,1.0
420,F1312,MM_ELEC_XFER_TXNS_L7D,carried through from the extract,1.0
421,F1318,MM_UPI_XFER_TXNS_L7D,carried through from the extract,1.0
422,F1320,MM_UPI_TXNS_DB_L7D,carried through from the extract,1.0
423,F1354,MM_LOAN_TXNS_L7D,carried through from the extract,0.0
424,F1356,MM_LOAN_TXNS_DB_L7D,carried through from the extract,0.0
425,F1358,MM_LOAN_AMT_CR_L7D,carried through from the extract,0.0
426,F1379,MM_NON_CASH_CHQ_TXNS_CR_L14D,carried through from the extract,1.0
427,F1380,MM_NON_CASH_CHQ_TXNS_DB_L14D,carried through from the extract,1.0
428,F1384,MM_CI_NON_CASH_CHQ_TXNS_L14D,carried through from the extract,1.0
429,F1385,MM_CI_NON_CASH_CHQ_TXNS_CR_L14D,carried through from the extract,1.0
430,F1386,MM_CI_NON_CASH_CHQ_TXNS_DB_L14D,carried through from the extract,1.0
431,F1426,MM_UPI_XFER_TXNS_L14D,carried through from the extract,1.0
432,F1487,MM_NON_CASH_CHQ_TXNS_CR_L31D,carried through from the extract,1.0
433,F1488,MM_NON_CASH_CHQ_TXNS_DB_L31D,carried through from the extract,1.0
434,F1492,MM_CI_NON_CASH_CHQ_TXNS_L31D,carried through from the extract,1.0
435,F1493,MM_CI_NON_CASH_CHQ_TXNS_CR_L31D,carried through from the extract,1.0
436,F1494,MM_CI_NON_CASH_CHQ_TXNS_DB_L31D,carried through from the extract,1.0
437,F1534,MM_UPI_XFER_TXNS_L31D,carried through from the extract,1.0
438,F1582,CASH_TXNS_L7D,carried through from the extract,0.0
439,F1584,CASH_TXNS_DB_L7D,carried through from the extract,0.0
440,F1585,CASH_AMT_L7D,carried through from the extract,0.0
441,F1587,CASH_AMT_DB_L7D,carried through from the extract,0.0
442,F1588,CHQ_TXNS_L7D,carried through from the extract,0.0
443,F1589,CHQ_TXNS_CR_L7D,carried through from the extract,0.0
444,F1590,CHQ_TXNS_DB_L7D,carried through from the extract,0.0
445,F1591,CHQ_AMT_L7D,carried through from the extract,0.0
446,F1594,NON_CASH_CHQ_TXNS_L7D,carried through from the extract,31.0
447,F1595,NON_CASH_CHQ_TXNS_CR_L7D,carried through from the extract,8.0
448,F1596,NON_CASH_CHQ_TXNS_DB_L7D,carried through from the extract,18.0
449,F1597,NON_CASH_CHQ_AMT_L7D,carried through from the extract,739406.105
450,F1603,CI_NON_CASH_CHQ_AMT_L7D,carried through from the extract,619998.285
451,F1604,CI_NON_CASH_CHQ_AMT_CR_L7D,carried through from the extract,255998.0
452,F1605,CI_NON_CASH_CHQ_AMT_DB_L7D,carried through from the extract,329315.74
453,F1612,ATM_TXNS_L7D,carried through from the extract,0.0
454,F1615,ATM_AMT_L7D,carried through from the extract,0.0
455,F1617,ATM_AMT_DB_L7D,carried through from the extract,0.0
456,F1618,BI_FEES_CHRGS_TXNS_L7D,carried through from the extract,0.0
457,F1619,BI_FEES_CHRGS_TXNS_CR_L7D,carried through from the extract,0.0
458,F1621,BI_FEES_CHRGS_AMT_L7D,carried through from the extract,0.0
459,F1624,CI_FEES_CHRGS_TXNS_L7D,carried through from the extract,0.0
460,F1625,CI_FEES_CHRGS_TXNS_CR_L7D,carried through from the extract,0.0
461,F1626,CI_FEES_CHRGS_TXNS_DB_L7D,carried through from the extract,0.0
462,F1627,CI_FEES_CHRGS_AMT_L7D,carried through from the extract,0.0
463,F1628,CI_FEES_CHRGS_AMT_CR_L7D,carried through from the extract,0.0
464,F1629,CI_FEES_CHRGS_AMT_DB_L7D,carried through from the extract,0.0
465,F1630,GST_TXNS_L7D,carried through from the extract,0.0
466,F1631,GST_TXNS_CR_L7D,carried through from the extract,0.0
467,F1632,GST_TXNS_DB_L7D,carried through from the extract,0.0
468,F1633,GST_AMT_L7D,carried through from the extract,0.0
469,F1634,GST_AMT_CR_L7D,carried through from the extract,0.0
470,F1635,GST_AMT_DB_L7D,carried through from the extract,0.0
471,F1636,ELEC_XFER_TXNS_L7D,carried through from the extract,2.0
472,F1637,ELEC_XFER_TXNS_CR_L7D,carried through from the extract,1.0
473,F1638,ELEC_XFER_TXNS_DB_L7D,carried through from the extract,0.0
474,F1639,ELEC_XFER_AMT_L7D,carried through from the extract,135756.5
475,F1640,ELEC_XFER_AMT_CR_L7D,carried through from the extract,48970.0
476,F1641,ELEC_XFER_AMT_DB_L7D,carried through from the extract,0.0
477,F1642,UPI_XFER_TXNS_L7D,carried through from the extract,18.0
478,F1643,UPI_TXNS_CR_L7D,carried through from the extract,2.0
479,F1644,UPI_TXNS_DB_L7D,carried through from the extract,9.0
480,F1645,UPI_XFER_AMT_L7D,carried through from the extract,150780.0
481,F1646,UPI_AMT_CR_L7D,carried through from the extract,13000.0
482,F1647,UPI_AMT_DB_L7D,carried through from the extract,71177.5
483,F1648,NET_BNKING_TXNS_L7D,carried through from the extract,0.0
484,F1649,NET_BNKING_TXNS_CR_L7D,carried through from the extract,0.0
485,F1650,NET_BNKING_TXNS_DB_L7D,carried through from the extract,0.0
486,F1651,NET_BNKING_AMT_L7D,carried through from the extract,0.0
487,F1652,NET_BNKING_AMT_CR_L7D,carried through from the extract,0.0
488,F1653,NET_BNKING_AMT_DB_L7D,carried through from the extract,0.0
489,F1654,MOB_BNKING_TXNS_L7D,carried through from the extract,0.0
490,F1655,MBNKING_TXNS_CR_L7D,carried through from the extract,0.0
491,F1657,MOB_BNKING_AMT_L7D,carried through from the extract,0.0
492,F1658,MBNKING_AMT_CR_L7D,carried through from the extract,0.0
493,F1659,MBNKING_AMT_DB_L7D,carried through from the extract,0.0
494,F1660,POS_PYMT_TXNS_L7D,carried through from the extract,0.0
495,F1661,POS_PYMT_TXNS_CR_L7D,carried through from the extract,0.0
496,F1663,POS_PYMT_AMT_L7D,carried through from the extract,0.0
497,F1664,POS_PYMT_AMT_CR_L7D,carried through from the extract,0.0
498,F1672,APB_TXNS_L7D,carried through from the extract,0.0
499,F1675,APB_AMT_L7D,carried through from the extract,0.0
500,F1676,APB_AMT_CR_L7D,carried through from the extract,0.0
501,F1678,LOAN_TXNS_L7D,carried through from the extract,0.0
502,F1679,LOAN_TXNS_CR_L7D,carried through from the extract,0.0
503,F1681,LOAN_AMT_L7D,carried through from the extract,0.0
504,F1682,LOAN_AMT_CR_L7D,carried through from the extract,0.0
505,F1684,STDNG_INSTR_L7D,carried through from the extract,0.0
506,F1685,STDNG_INSTR_CR_TXNS_L7D,carried through from the extract,0.0
507,F1686,STDNG_INSTR_DB_TXNS_L7D,carried through from the extract,0.0
508,F1687,STDNG_INSTR_AMT_L7D,carried through from the extract,0.0
509,F1688,STDNG_INSTR_AMT_CR_L7D,carried through from the extract,0.0
510,F1689,STDNG_INSTR_AMT_DB_L7D,carried through from the extract,0.0
511,F1692,CASH_TXNS_DB_L14D,carried through from the extract,0.0
512,F1695,CASH_AMT_DB_L14D,carried through from the extract,0.0
513,F1696,CHQ_TXNS_L14D,carried through from the extract,0.0
514,F1697,CHQ_TXNS_CR_L14D,carried through from the extract,0.0
515,F1698,CHQ_TXNS_DB_L14D,carried through from the extract,0.0
516,F1702,NON_CASH_CHQ_TXNS_L14D,carried through from the extract,54.0
517,F1703,NON_CASH_CHQ_TXNS_CR_L14D,carried through from the extract,15.0
518,F1704,NON_CASH_CHQ_TXNS_DB_L14D,carried through from the extract,31.0
519,F1705,NON_CASH_CHQ_AMT_L14D,carried through from the extract,1104724.75
520,F1711,CI_NON_CASH_CHQ_AMT_L14D,carried through from the extract,944303.735
521,F1712,CI_NON_CASH_CHQ_AMT_CR_L14D,carried through from the extract,448559.2
522,F1713,CI_NON_CASH_CHQ_AMT_DB_L14D,carried through from the extract,495772.305
523,F1720,ATM_TXNS_L14D,carried through from the extract,0.0
524,F1723,ATM_AMT_L14D,carried through from the extract,0.0
525,F1726,BI_FEES_CHRGS_TXNS_L14D,carried through from the extract,0.0
526,F1727,BI_FEES_CHRGS_TXNS_CR_L14D,carried through from the extract,0.0
527,F1729,BI_FEES_CHRGS_AMT_L14D,carried through from the extract,0.0
528,F1730,BI_FEES_CHRGS_AMT_CR_L14D,carried through from the extract,0.0
529,F1732,CI_FEES_CHRGS_TXNS_L14D,carried through from the extract,0.0
530,F1734,CI_FEES_CHRGS_TXNS_DB_L14D,carried through from the extract,0.0
531,F1735,CI_FEES_CHRGS_AMT_L14D,carried through from the extract,0.0
532,F1736,CI_FEES_CHRGS_AMT_CR_L14D,carried through from the extract,0.0
533,F1737,CI_FEES_CHRGS_AMT_DB_L14D,carried through from the extract,0.0
534,F1738,GST_TXNS_L14D,carried through from the extract,0.0
535,F1739,GST_TXNS_CR_L14D,carried through from the extract,0.0
536,F1740,GST_TXNS_DB_L14D,carried through from the extract,0.0
537,F1741,GST_AMT_L14D,carried through from the extract,0.0
538,F1742,GST_AMT_CR_L14D,carried through from the extract,0.0
539,F1743,GST_AMT_DB_L14D,carried through from the extract,0.0
540,F1746,ELEC_XFER_TXNS_DB_L14D,carried through from the extract,0.0
541,F1748,ELEC_XFER_AMT_CR_L14D,carried through from the extract,104335.5
542,F1749,ELEC_XFER_AMT_DB_L14D,carried through from the extract,0.0
543,F1750,UPI_XFER_TXNS_L14D,carried through from the extract,30.0
544,F1751,UPI_TXNS_CR_L14D,carried through from the extract,4.0
545,F1752,UPI_TXNS_DB_L14D,carried through from the extract,15.0
546,F1753,UPI_XFER_AMT_L14D,carried through from the extract,232586.95
547,F1754,UPI_AMT_CR_L14D,carried through from the extract,33559.945
548,F1755,UPI_AMT_DB_L14D,carried through from the extract,102929.725
549,F1758,NET_BNKING_TXNS_DB_L14D,carried through from the extract,0.0
550,F1761,NET_BNKING_AMT_DB_L14D,carried through from the extract,0.0
551,F1762,MOB_BNKING_TXNS_L14D,carried through from the extract,0.0
552,F1763,MBNKING_TXNS_CR_L14D,carried through from the extract,0.0
553,F1765,MOB_BNKING_AMT_L14D,carried through from the extract,0.0
554,F1766,MBNKING_AMT_CR_L14D,carried through from the extract,0.0
555,F1767,MBNKING_AMT_DB_L14D,carried through from the extract,0.0
556,F1768,POS_PYMT_TXNS_L14D,carried through from the extract,0.0
557,F1769,POS_PYMT_TXNS_CR_L14D,carried through from the extract,0.0
558,F1771,POS_PYMT_AMT_L14D,carried through from the extract,0.0
559,F1780,APB_TXNS_L14D,carried through from the extract,0.0
560,F1783,APB_AMT_L14D,carried through from the extract,0.0
561,F1786,LOAN_TXNS_L14D,carried through from the extract,0.0
562,F1787,LOAN_TXNS_CR_L14D,carried through from the extract,0.0
563,F1789,LOAN_AMT_L14D,carried through from the extract,0.0
564,F1790,LOAN_AMT_CR_L14D,carried through from the extract,0.0
565,F1792,STDNG_INSTR_L14D,carried through from the extract,0.0
566,F1793,STDNG_INSTR_CR_TXNS_L14D,carried through from the extract,0.0
567,F1794,STDNG_INSTR_DB_TXNS_L14D,carried through from the extract,0.0
568,F1796,STDNG_INSTR_AMT_CR_L14D,carried through from the extract,0.0
569,F1800,CASH_TXNS_DB_L31D,carried through from the extract,0.0
570,F1803,CASH_AMT_DB_L31D,carried through from the extract,0.0
571,F1804,CHQ_TXNS_L31D,carried through from the extract,0.0
572,F1805,CHQ_TXNS_CR_L31D,carried through from the extract,0.0
573,F1806,CHQ_TXNS_DB_L31D,carried through from the extract,0.0
574,F1807,CHQ_AMT_L31D,carried through from the extract,0.0
575,F1808,CHQ_AMT_CR_L31D,carried through from the extract,0.0
576,F1809,CHQ_AMT_DB_L31D,carried through from the extract,0.0
577,F1810,NON_CASH_CHQ_TXNS_L31D,carried through from the extract,106.0
578,F1811,NON_CASH_CHQ_TXNS_CR_L31D,carried through from the extract,28.0
579,F1812,NON_CASH_CHQ_TXNS_DB_L31D,carried through from the extract,61.0
580,F1819,CI_NON_CASH_CHQ_AMT_L31D,carried through from the extract,1465250.565
581,F1821,CI_NON_CASH_CHQ_AMT_DB_L31D,carried through from the extract,719886.48
582,F1828,ATM_TXNS_L31D,carried through from the extract,0.0
583,F1831,ATM_AMT_L31D,carried through from the extract,0.0
584,F1834,BI_FEES_CHRGS_TXNS_L31D,carried through from the extract,0.0
585,F1835,BI_FEES_CHRGS_TXNS_CR_L31D,carried through from the extract,0.0
586,F1837,BI_FEES_CHRGS_AMT_L31D,carried through from the extract,0.0
587,F1838,BI_FEES_CHRGS_AMT_CR_L31D,carried through from the extract,0.0
588,F1840,CI_FEES_CHRGS_TXNS_L31D,carried through from the extract,0.0
589,F1841,CI_FEES_CHRGS_TXNS_CR_L31D,carried through from the extract,0.0
590,F1842,CI_FEES_CHRGS_TXNS_DB_L31D,carried through from the extract,0.0
591,F1843,CI_FEES_CHRGS_AMT_L31D,carried through from the extract,0.0
592,F1845,CI_FEES_CHRGS_AMT_DB_L31D,carried through from the extract,0.0
593,F1846,GST_TXNS_L31D,carried through from the extract,0.0
594,F1847,GST_TXNS_CR_L31D,carried through from the extract,0.0
595,F1848,GST_TXNS_DB_L31D,carried through from the extract,0.0
596,F1849,GST_AMT_L31D,carried through from the extract,0.0
597,F1851,GST_AMT_DB_L31D,carried through from the extract,0.0
598,F1852,ELEC_XFER_TXNS_L31D,carried through from the extract,6.0
599,F1854,ELEC_XFER_TXNS_DB_L31D,carried through from the extract,0.0
600,F1858,UPI_XFER_TXNS_L31D,carried through from the extract,57.0
601,F1859,UPI_TXNS_CR_L31D,carried through from the extract,9.0
602,F1860,UPI_TXNS_DB_L31D,carried through from the extract,29.0
603,F1861,UPI_XFER_AMT_L31D,carried through from the extract,388567.0
604,F1863,UPI_AMT_DB_L31D,carried through from the extract,172549.535
605,F1864,NET_BNKING_TXNS_L31D,carried through from the extract,2.0
606,F1866,NET_BNKING_TXNS_DB_L31D,carried through from the extract,0.0
607,F1869,NET_BNKING_AMT_DB_L31D,carried through from the extract,0.0
608,F1870,MOB_BNKING_TXNS_L31D,carried through from the extract,0.0
609,F1871,MBNKING_TXNS_CR_L31D,carried through from the extract,0.0
610,F1873,MOB_BNKING_AMT_L31D,carried through from the extract,0.0
611,F1874,MBNKING_AMT_CR_L31D,carried through from the extract,0.0
612,F1875,MBNKING_AMT_DB_L31D,carried through from the extract,0.0
613,F1876,POS_PYMT_TXNS_L31D,carried through from the extract,0.0
614,F1879,POS_PYMT_AMT_L31D,carried through from the extract,0.0
615,F1888,APB_TXNS_L31D,carried through from the extract,0.0
616,F1891,APB_AMT_L31D,carried through from the extract,0.0
617,F1894,LOAN_TXNS_L31D,carried through from the extract,0.0
618,F1895,LOAN_TXNS_CR_L31D,carried through from the extract,0.0
619,F1897,LOAN_AMT_L31D,carried through from the extract,0.0
620,F1898,LOAN_AMT_CR_L31D,carried through from the extract,0.0
621,F1900,STDNG_INSTR_L31D,carried through from the extract,0.0
622,F1901,STDNG_INSTR_CR_TXNS_L31D,carried through from the extract,0.0
623,F1902,STDNG_INSTR_DB_TXNS_L31D,carried through from the extract,0.0
624,F1904,STDNG_INSTR_AMT_CR_L31D,carried through from the extract,0.0
625,F1906,AVG_CASH_TXNS_L7D,carried through from the extract,0.0
626,F1907,AVG_CASH_TXNS_CR_L7D,carried through from the extract,0.0
627,F1908,AVG_CASH_TXNS_DB_L7D,carried through from the extract,0.0
628,F1909,AVG_CASH_AMT_L7D,carried through from the extract,0.0
629,F1910,AVG_CASH_AMT_CR_L7D,carried through from the extract,0.0
630,F1911,AVG_CASH_AMT_DB_L7D,carried through from the extract,0.0
631,F1912,AVG_CHQ_TXNS_L7D,carried through from the extract,0.0
632,F1913,AVG_CHQ_TXNS_CR_L7D,carried through from the extract,0.0
633,F1914,AVG_CHQ_TXNS_DB_L7D,carried through from the extract,0.0
634,F1915,AVG_CHQ_AMT_L7D,carried through from the extract,0.0
635,F1916,AVG_CHQ_AMT_CR_L7D,carried through from the extract,0.0
636,F1917,AVG_CHQ_AMT_DB_L7D,carried through from the extract,0.0
637,F1918,AVG_NON_CASH_CHQ_TXNS_L7D,carried through from the extract,1.0
638,F1919,AVG_NON_CASH_CHQ_TXNS_CR_L7D,carried through from the extract,0.333333
639,F1920,AVG_NON_CASH_CHQ_TXNS_DB_L7D,carried through from the extract,0.62
640,F1921,AVG_NON_CASH_CHQ_AMT_L7D,carried through from the extract,25118.618255
641,F1922,AVG_NON_CASH_CHQ_AMT_CR_L7D,carried through from the extract,8956.020588
642,F1923,AVG_NON_CASH_CHQ_AMT_DB_L7D,carried through from the extract,9817.654572
643,F1924,AVG_CI_NON_CASH_CHQ_TXNS_L7D,carried through from the extract,1.0
644,F1925,AVG_CI_NON_CASH_CHQ_TXNS_CR_L7D,carried through from the extract,0.3
645,F1926,AVG_CI_NON_CASH_CHQ_TXNS_DB_L7D,carried through from the extract,0.594595
646,F1927,AVG_CI_NON_CASH_CHQ_AMT_L7D,carried through from the extract,18752.152395
647,F1928,AVG_CI_NON_CASH_CHQ_AMT_CR_L7D,carried through from the extract,5901.275269
648,F1929,AVG_CI_NON_CASH_CHQ_AMT_DB_L7D,carried through from the extract,8370.92
649,F1936,AVG_ATM_TXNS_L7D,carried through from the extract,0.0
650,F1939,AVG_ATM_AMT_L7D,carried through from the extract,0.0
651,F1942,AVG_BI_FEES_CHRGS_TXNS_L7D,carried through from the extract,0.0
652,F1945,AVG_BI_FEES_CHRGS_AMT_L7D,carried through from the extract,0.0
653,F1948,AVG_CI_FEES_CHRGS_TXNS_L7D,carried through from the extract,0.0
654,F1949,AVG_CI_FEES_CHRGS_TXNS_CR_L7D,carried through from the extract,0.0
655,F1951,AVG_CI_FEES_CHRGS_AMT_L7D,carried through from the extract,0.0
656,F1952,AVG_CI_FEES_CHRGS_AMT_CR_L7D,carried through from the extract,0.0
657,F1953,AVG_CI_FEES_CHRGS_AMT_DB_L7D,carried through from the extract,0.0
658,F1954,AVG_GST_TXNS_L7D,carried through from the extract,0.0
659,F1955,AVG_GST_TXNS_CR_L7D,carried through from the extract,0.0
660,F1956,AVG_GST_TXNS_DB_L7D,carried through from the extract,0.0
661,F1957,AVG_GST_AMT_L7D,carried through from the extract,0.0
662,F1958,AVG_GST_AMT_CR_L7D,carried through from the extract,0.0
663,F1959,AVG_GST_AMT_DB_L7D,carried through from the extract,0.0
664,F1960,AVG_ELEC_XFER_TXNS_L7D,carried through from the extract,0.097561
665,F1961,AVG_ELEC_XFER_TXNS_CR_L7D,carried through from the extract,0.04
666,F1962,AVG_ELEC_XFER_TXNS_DB_L7D,carried through from the extract,0.0
667,F1963,AVG_ELEC_XFER_AMT_L7D,carried through from the extract,3268.699129
668,F1965,AVG_ELEC_XFER_AMT_DB_L7D,carried through from the extract,0.0
669,F1966,AVG_UPI_XFER_TXNS_L7D,carried through from the extract,0.709677
670,F1967,AVG_UPI_TXNS_CR_L7D,carried through from the extract,0.084746
671,F1968,AVG_UPI_TXNS_DB_L7D,carried through from the extract,0.413793
672,F1969,AVG_UPI_XFER_AMT_L7D,carried through from the extract,3527.18125
673,F1970,AVG_UPI_AMT_CR_L7D,carried through from the extract,355.32967
674,F1971,AVG_UPI_AMT_DB_L7D,carried through from the extract,1675.892673
675,F1972,AVG_NET_BNKING_TXNS_L7D,carried through from the extract,0.0
676,F1973,AVG_NET_BNKING_TXNS_CR_L7D,carried through from the extract,0.0
677,F1974,AVG_NET_BNKING_TXNS_DB_L7D,carried through from the extract,0.0
678,F1975,AVG_NET_BNKING_AMT_L7D,carried through from the extract,0.0
679,F1977,AVG_NET_BNKING_AMT_DB_L7D,carried through from the extract,0.0
680,F1978,AVG_MOB_BNKING_TXNS_L7D,carried through from the extract,0.0
681,F1979,AVG_MBNKING_TXNS_CR_L7D,carried through from the extract,0.0
682,F1980,AVG_MBNKING_TXNS_DB_L7D,carried through from the extract,0.0
683,F1981,AVG_MOB_BNKING_AMT_L7D,carried through from the extract,0.0
684,F1982,AVG_MBNKING_AMT_CR_L7D,carried through from the extract,0.0
685,F1983,AVG_MBNKING_AMT_DB_L7D,carried through from the extract,0.0
686,F1984,AVG_POS_PYMT_TXNS_L7D,carried through from the extract,0.0
687,F1985,AVG_POS_PYMT_TXNS_CR_L7D,carried through from the extract,0.0
688,F1987,AVG_POS_PYMT_AMT_L7D,carried through from the extract,0.0
689,F1996,AVG_APB_TXNS_L7D,carried through from the extract,0.0
690,F1999,AVG_APB_AMT_L7D,carried through from the extract,0.0
691,F2002,AVG_LOAN_TXNS_L7D,carried through from the extract,0.0
692,F2003,AVG_LOAN_TXNS_CR_L7D,carried through from the extract,0.0
693,F2004,AVG_LOAN_TXNS_DB_L7D,carried through from the extract,0.0
694,F2005,AVG_LOAN_AMT_L7D,carried through from the extract,0.0
695,F2006,AVG_LOAN_AMT_CR_L7D,carried through from the extract,0.0
696,F2007,AVG_LOAN_AMT_DB_L7D,carried through from the extract,0.0
697,F2008,AVG_STDNG_INSTR_L7D,carried through from the extract,0.0
698,F2009,AVG_STDNG_INSTR_CR_TXNS_L7D,carried through from the extract,0.0
699,F2010,AVG_STDNG_INSTR_DB_TXNS_L7D,carried through from the extract,0.0
700,F2011,AVG_STDNG_INSTR_AMT_L7D,carried through from the extract,0.0
701,F2012,AVG_STDNG_INSTR_AMT_CR_L7D,carried through from the extract,0.0
702,F2013,AVG_STDNG_INSTR_AMT_DB_L7D,carried through from the extract,0.0
703,F2014,AVG_CASH_TXNS_L14D,carried through from the extract,0.0
704,F2015,AVG_CASH_TXNS_CR_L14D,carried through from the extract,0.0
